system:index,histogram_counts,histogram_means,month,year,.geo
89,[],[],6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,[],[],7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,[],[],8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,[],[],9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,[],[],10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,[],[],11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,[],[],12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,[],[],1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,[],[],2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,[],[],3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,[],[],4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,[],[],5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,[],[],6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,[],[],7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,[],[],8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,[],[],9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,[],[],10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,[],[],11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,[],[],12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,[],[],1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,[],[],2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,[],[],3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,[],[],4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,[],[],5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
