district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Bhola,Barisal,6,June,2471.69,614.49,0.248611,2016,1422.0,Monsoon (Jun-Sep)
Bogra,Rajshahi,6,June,3233.63,175.25,0.054196,2016,405.6,Monsoon (Jun-Sep)
Brahamanbaria,Chittagong,6,June,2104.07,267.0,0.126897,2016,617.9,Monsoon (Jun-Sep)
Chandpur,Chittagong,6,June,1864.17,231.66,0.124268,2016,536.1,Monsoon (Jun-Sep)
Chittagong,Chittagong,6,June,4736.75,90.79,0.019167,2016,210.1,Monsoon (Jun-Sep)
Chuadanga,Khulna,6,June,1225.5,4.93,0.004024,2016,11.4,Monsoon (Jun-Sep)
Comilla,Chittagong,6,June,3351.85,74.25,0.022152,2016,171.8,Monsoon (Jun-Sep)
Cox's Bazar,Chittagong,6,June,2206.6,144.53,0.065501,2016,334.5,Monsoon (Jun-Sep)
Dhaka,Dhaka,6,June,1611.18,71.98,0.044674,2016,166.6,Monsoon (Jun-Sep)
Dinajpur,Rangpur,6,June,3829.09,10.18,0.002657,2016,23.6,Monsoon (Jun-Sep)
Faridpur,Dhaka,6,June,2227.54,104.99,0.047132,2016,243.0,Monsoon (Jun-Sep)
Feni,Chittagong,6,June,960.78,6.53,0.006794,2016,15.1,Monsoon (Jun-Sep)
Gaibandha,Rangpur,6,June,2409.64,244.63,0.10152,2016,566.1,Monsoon (Jun-Sep)
Gazipur,Dhaka,6,June,1940.74,41.06,0.021155,2016,95.0,Monsoon (Jun-Sep)
Gopalganj,Dhaka,6,June,1602.77,36.05,0.022492,2016,83.4,Monsoon (Jun-Sep)
Habiganj,Sylhet,6,June,2857.81,383.0,0.134019,2016,886.3,Monsoon (Jun-Sep)
Jamalpur,Dhaka,6,June,2271.6,123.49,0.054365,2016,285.8,Monsoon (Jun-Sep)
Jessore,Khulna,6,June,2784.67,42.79,0.015368,2016,99.0,Monsoon (Jun-Sep)
Jhalokati,Barisal,6,June,807.93,47.82,0.059187,2016,110.7,Monsoon (Jun-Sep)
Jhenaidah,Khulna,6,June,2143.2,13.48,0.006288,2016,31.2,Monsoon (Jun-Sep)
Joypurhat,Rajshahi,6,June,1081.54,1.66,0.001539,2016,3.8,Monsoon (Jun-Sep)
Khagrachhari,Chittagong,6,June,3108.48,0.15,4.8e-05,2016,0.3,Monsoon (Jun-Sep)
Khulna,Khulna,6,June,3867.59,356.5,0.092176,2016,825.0,Monsoon (Jun-Sep)
Kishoreganj,Dhaka,6,June,2821.62,903.3,0.320136,2016,2090.4,Monsoon (Jun-Sep)
Kurigram,Rangpur,6,June,2481.86,420.36,0.169372,2016,972.8,Monsoon (Jun-Sep)
Kushtia,Khulna,6,June,1756.17,89.27,0.050832,2016,206.6,Monsoon (Jun-Sep)
Lakshmipur,Chittagong,6,June,1573.07,276.49,0.175763,2016,639.8,Monsoon (Jun-Sep)
Lalmonirhat,Rangpur,6,June,1381.73,34.23,0.024773,2016,79.2,Monsoon (Jun-Sep)
Madaripur,Dhaka,6,June,1257.23,56.75,0.04514,2016,131.3,Monsoon (Jun-Sep)
Magura,Khulna,6,June,1143.98,13.42,0.01173,2016,31.1,Monsoon (Jun-Sep)
Manikganj,Dhaka,6,June,1531.92,169.23,0.110467,2016,391.6,Monsoon (Jun-Sep)
Maulvibazar,Sylhet,6,June,2819.05,388.97,0.13798,2016,900.1,Monsoon (Jun-Sep)
Meherpur,Khulna,6,June,447.29,0.79,0.001764,2016,1.8,Monsoon (Jun-Sep)
Munshiganj,Dhaka,6,June,1036.66,89.87,0.086689,2016,208.0,Monsoon (Jun-Sep)
Mymensingh,Dhaka,6,June,4783.42,26.99,0.005643,2016,62.5,Monsoon (Jun-Sep)
Naogaon,Rajshahi,6,June,3824.58,14.98,0.003917,2016,34.7,Monsoon (Jun-Sep)
Narail,Khulna,6,June,1072.86,35.44,0.03303,2016,82.0,Monsoon (Jun-Sep)
Narayanganj,Dhaka,6,June,832.16,51.2,0.061524,2016,118.5,Monsoon (Jun-Sep)
Narsingdi,Dhaka,6,June,1281.34,96.32,0.07517,2016,222.9,Monsoon (Jun-Sep)
Natore,Rajshahi,6,June,2101.7,21.05,0.010016,2016,48.7,Monsoon (Jun-Sep)
Nawabganj,Rajshahi,6,June,1567.59,25.95,0.016554,2016,60.1,Monsoon (Jun-Sep)
Netrakona,Dhaka,6,June,3088.27,523.82,0.169615,2016,1212.2,Monsoon (Jun-Sep)
Nilphamari,Rangpur,6,June,1835.68,20.3,0.011061,2016,47.0,Monsoon (Jun-Sep)
Noakhali,Chittagong,6,June,2642.03,120.39,0.045568,2016,278.6,Monsoon (Jun-Sep)
Pabna,Rajshahi,6,June,2634.14,125.37,0.047593,2016,290.1,Monsoon (Jun-Sep)
Panchagarh,Rangpur,6,June,1548.44,4.91,0.003169,2016,11.4,Monsoon (Jun-Sep)
Patuakhali,Barisal,6,June,2730.09,263.07,0.09636,2016,608.8,Monsoon (Jun-Sep)
Pirojpur,Barisal,6,June,1365.69,135.55,0.099257,2016,313.7,Monsoon (Jun-Sep)
Rajbari,Dhaka,6,June,1249.73,108.97,0.087197,2016,252.2,Monsoon (Jun-Sep)
Rajshahi,Rajshahi,6,June,1262.52,16.9,0.013382,2016,39.1,Monsoon (Jun-Sep)
Rangamati,Chittagong,6,June,6226.79,189.27,0.030396,2016,438.0,Monsoon (Jun-Sep)
Rangpur,Rangpur,6,June,2572.65,21.24,0.008255,2016,49.2,Monsoon (Jun-Sep)
Satkhira,Khulna,6,June,3543.16,440.08,0.124204,2016,1018.4,Monsoon (Jun-Sep)
Shariatpur,Dhaka,6,June,1362.06,171.13,0.12564,2016,396.0,Monsoon (Jun-Sep)
Sherpur,Dhaka,6,June,1454.31,4.31,0.002963,2016,10.0,Monsoon (Jun-Sep)
Sirajganj,Rajshahi,6,June,2755.65,368.65,0.13378,2016,853.1,Monsoon (Jun-Sep)
Sunamganj,Sylhet,6,June,4043.04,1851.08,0.457842,2016,4283.7,Monsoon (Jun-Sep)
Sylhet,Sylhet,6,June,3847.75,581.2,0.15105,2016,1345.0,Monsoon (Jun-Sep)
Tangail,Dhaka,6,June,3707.07,121.24,0.032706,2016,280.6,Monsoon (Jun-Sep)
Thakurgaon,Rangpur,6,June,2007.43,0.65,0.000322,2016,1.5,Monsoon (Jun-Sep)
Bagerhat,Khulna,7,July,3964.73,395.26,0.099693,2016,914.7,Monsoon (Jun-Sep)
Bandarban,Chittagong,7,July,5000.66,2.47,0.000494,2016,5.7,Monsoon (Jun-Sep)
Barguna,Barisal,7,July,1547.03,177.09,0.114471,2016,409.8,Monsoon (Jun-Sep)
Barisal,Barisal,7,July,2767.25,449.67,0.162497,2016,1040.6,Monsoon (Jun-Sep)
Bhola,Barisal,7,July,2471.55,717.31,0.290226,2016,1660.0,Monsoon (Jun-Sep)
Bogra,Rajshahi,7,July,3233.63,536.69,0.165972,2016,1242.0,Monsoon (Jun-Sep)
Brahamanbaria,Chittagong,7,July,2104.05,567.37,0.269659,2016,1313.0,Monsoon (Jun-Sep)
Chandpur,Chittagong,7,July,1863.72,177.52,0.095248,2016,410.8,Monsoon (Jun-Sep)
Chittagong,Chittagong,7,July,4736.75,105.08,0.022183,2016,243.2,Monsoon (Jun-Sep)
Chuadanga,Khulna,7,July,1233.0,6.66,0.005403,2016,15.4,Monsoon (Jun-Sep)
Comilla,Chittagong,7,July,3351.85,150.92,0.045027,2016,349.3,Monsoon (Jun-Sep)
Cox's Bazar,Chittagong,7,July,2206.6,136.76,0.061976,2016,316.5,Monsoon (Jun-Sep)
Dhaka,Dhaka,7,July,1611.18,110.85,0.0688,2016,256.5,Monsoon (Jun-Sep)
Dinajpur,Rangpur,7,July,3829.09,63.47,0.016575,2016,146.9,Monsoon (Jun-Sep)
Faridpur,Dhaka,7,July,2225.48,193.14,0.086788,2016,447.0,Monsoon (Jun-Sep)
Feni,Chittagong,7,July,960.78,18.09,0.018825,2016,41.9,Monsoon (Jun-Sep)
Gaibandha,Rangpur,7,July,2409.51,479.69,0.199084,2016,1110.1,Monsoon (Jun-Sep)
Gazipur,Dhaka,7,July,1940.74,94.95,0.048923,2016,219.7,Monsoon (Jun-Sep)
Gopalganj,Dhaka,7,July,1602.77,42.83,0.026725,2016,99.1,Monsoon (Jun-Sep)
Habiganj,Sylhet,7,July,2857.81,453.68,0.158749,2016,1049.9,Monsoon (Jun-Sep)
Jamalpur,Dhaka,7,July,2271.41,369.55,0.162697,2016,855.2,Monsoon (Jun-Sep)
Jessore,Khulna,7,July,2784.67,119.92,0.043066,2016,277.5,Monsoon (Jun-Sep)
Jhalokati,Barisal,7,July,807.93,67.42,0.083448,2016,156.0,Monsoon (Jun-Sep)
Jhenaidah,Khulna,7,July,2142.78,34.94,0.016304,2016,80.9,Monsoon (Jun-Sep)
Joypurhat,Rajshahi,7,July,1081.54,120.94,0.11182,2016,279.9,Monsoon (Jun-Sep)
Khagrachhari,Chittagong,7,July,3108.48,1.57,0.000505,2016,3.6,Monsoon (Jun-Sep)
Khulna,Khulna,7,July,3867.36,458.02,0.118431,2016,1059.9,Monsoon (Jun-Sep)
Kishoreganj,Dhaka,7,July,2821.62,1378.28,0.488473,2016,3189.6,Monsoon (Jun-Sep)
Kurigram,Rangpur,7,July,2481.86,823.95,0.33199,2016,1906.8,Monsoon (Jun-Sep)
Kushtia,Khulna,7,July,1830.28,154.68,0.084509,2016,358.0,Monsoon (Jun-Sep)
Lakshmipur,Chittagong,7,July,1573.07,305.14,0.193978,2016,706.1,Monsoon (Jun-Sep)
Lalmonirhat,Rangpur,7,July,1381.75,119.51,0.086493,2016,276.6,Monsoon (Jun-Sep)
Madaripur,Dhaka,7,July,1256.7,65.14,0.051831,2016,150.7,Monsoon (Jun-Sep)
Magura,Khulna,7,July,1143.43,40.75,0.03564,2016,94.3,Monsoon (Jun-Sep)
Manikganj,Dhaka,7,July,1531.92,309.3,0.201906,2016,715.8,Monsoon (Jun-Sep)
Maulvibazar,Sylhet,7,July,2819.05,344.9,0.122345,2016,798.2,Monsoon (Jun-Sep)
Meherpur,Khulna,7,July,732.38,2.77,0.003784,2016,6.4,Monsoon (Jun-Sep)
Munshiganj,Dhaka,7,July,1036.45,99.96,0.096446,2016,231.3,Monsoon (Jun-Sep)
Mymensingh,Dhaka,7,July,4783.23,222.39,0.046494,2016,514.7,Monsoon (Jun-Sep)
Naogaon,Rajshahi,7,July,3824.58,370.72,0.09693,2016,857.9,Monsoon (Jun-Sep)
Narail,Khulna,7,July,1072.86,47.96,0.044703,2016,111.0,Monsoon (Jun-Sep)
Narayanganj,Dhaka,7,July,832.16,72.8,0.087481,2016,168.5,Monsoon (Jun-Sep)
Narsingdi,Dhaka,7,July,1281.34,146.96,0.11469,2016,340.1,Monsoon (Jun-Sep)
Natore,Rajshahi,7,July,2101.7,257.02,0.122292,2016,594.8,Monsoon (Jun-Sep)
Nawabganj,Rajshahi,7,July,1804.38,158.45,0.087814,2016,366.7,Monsoon (Jun-Sep)
Netrakona,Dhaka,7,July,3087.96,1135.35,0.367671,2016,2627.4,Monsoon (Jun-Sep)
Nilphamari,Rangpur,7,July,1836.84,68.57,0.037332,2016,158.7,Monsoon (Jun-Sep)
Noakhali,Chittagong,7,July,2641.82,155.14,0.058726,2016,359.0,Monsoon (Jun-Sep)
Pabna,Rajshahi,7,July,2634.14,441.14,0.167472,2016,1020.9,Monsoon (Jun-Sep)
Panchagarh,Rangpur,7,July,1548.93,38.12,0.024608,2016,88.2,Monsoon (Jun-Sep)
Patuakhali,Barisal,7,July,2729.49,320.11,0.11728,2016,740.8,Monsoon (Jun-Sep)
Pirojpur,Barisal,7,July,1365.69,129.85,0.095078,2016,300.5,Monsoon (Jun-Sep)
Rajbari,Dhaka,7,July,1249.73,172.68,0.13817,2016,399.6,Monsoon (Jun-Sep)
Rajshahi,Rajshahi,7,July,2664.72,259.3,0.097307,2016,600.1,Monsoon (Jun-Sep)
Rangamati,Chittagong,7,July,6226.79,292.1,0.046911,2016,676.0,Monsoon (Jun-Sep)
Rangpur,Rangpur,7,July,2572.65,94.69,0.036806,2016,219.1,Monsoon (Jun-Sep)
Satkhira,Khulna,7,July,3543.02,539.51,0.152274,2016,1248.5,Monsoon (Jun-Sep)
Shariatpur,Dhaka,7,July,1361.41,107.18,0.07873,2016,248.0,Monsoon (Jun-Sep)
Sherpur,Dhaka,7,July,1454.1,90.42,0.062185,2016,209.2,Monsoon (Jun-Sep)
Sirajganj,Rajshahi,7,July,2755.65,884.01,0.320798,2016,2045.8,Monsoon (Jun-Sep)
Sunamganj,Sylhet,7,July,4043.04,2141.78,0.529745,2016,4956.5,Monsoon (Jun-Sep)
Sylhet,Sylhet,7,July,3847.75,862.69,0.224206,2016,1996.4,Monsoon (Jun-Sep)
Tangail,Dhaka,7,July,3707.07,385.84,0.104081,2016,892.9,Monsoon (Jun-Sep)
Thakurgaon,Rangpur,7,July,2008.93,21.5,0.010702,2016,49.8,Monsoon (Jun-Sep)
Bagerhat,Khulna,8,August,3965.62,302.79,0.076355,2016,700.7,Monsoon (Jun-Sep)
Bandarban,Chittagong,8,August,5000.66,4.09,0.000819,2016,9.5,Monsoon (Jun-Sep)
Barguna,Barisal,8,August,1547.28,191.54,0.123789,2016,443.3,Monsoon (Jun-Sep)
Barisal,Barisal,8,August,2767.25,517.21,0.186905,2016,1196.9,Monsoon (Jun-Sep)
Bhola,Barisal,8,August,2471.69,667.24,0.269953,2016,1544.1,Monsoon (Jun-Sep)
Bogra,Rajshahi,8,August,3233.63,210.83,0.065199,2016,487.9,Monsoon (Jun-Sep)
Brahamanbaria,Chittagong,8,August,2104.07,559.18,0.265759,2016,1294.0,Monsoon (Jun-Sep)
Chandpur,Chittagong,8,August,1864.17,274.36,0.147173,2016,634.9,Monsoon (Jun-Sep)
Chittagong,Chittagong,8,August,4736.75,124.66,0.026318,2016,288.5,Monsoon (Jun-Sep)
Chuadanga,Khulna,8,August,1233.0,9.09,0.007369,2016,21.0,Monsoon (Jun-Sep)
Comilla,Chittagong,8,August,3351.85,91.64,0.02734,2016,212.1,Monsoon (Jun-Sep)
Cox's Bazar,Chittagong,8,August,2206.6,156.13,0.070754,2016,361.3,Monsoon (Jun-Sep)
Dhaka,Dhaka,8,August,1611.18,89.44,0.055513,2016,207.0,Monsoon (Jun-Sep)
Dinajpur,Rangpur,8,August,3829.09,10.55,0.002754,2016,24.4,Monsoon (Jun-Sep)
Faridpur,Dhaka,8,August,2227.54,236.05,0.105967,2016,546.3,Monsoon (Jun-Sep)
Feni,Chittagong,8,August,960.78,8.26,0.008596,2016,19.1,Monsoon (Jun-Sep)
Gaibandha,Rangpur,8,August,2410.25,303.72,0.12601,2016,702.9,Monsoon (Jun-Sep)
Gazipur,Dhaka,8,August,1940.74,86.87,0.04476,2016,201.0,Monsoon (Jun-Sep)
Gopalganj,Dhaka,8,August,1602.77,51.3,0.032008,2016,118.7,Monsoon (Jun-Sep)
Habiganj,Sylhet,8,August,2857.81,362.65,0.126898,2016,839.2,Monsoon (Jun-Sep)
Jamalpur,Dhaka,8,August,2272.36,186.6,0.082116,2016,431.8,Monsoon (Jun-Sep)
Jessore,Khulna,8,August,2784.67,231.95,0.083294,2016,536.8,Monsoon (Jun-Sep)
Jhalokati,Barisal,8,August,807.93,62.99,0.077969,2016,145.8,Monsoon (Jun-Sep)
Jhenaidah,Khulna,8,August,2143.52,51.64,0.024093,2016,119.5,Monsoon (Jun-Sep)
Joypurhat,Rajshahi,8,August,1081.54,0.47,0.000431,2016,1.1,Monsoon (Jun-Sep)
Khagrachhari,Chittagong,8,August,3108.48,2.41,0.000775,2016,5.6,Monsoon (Jun-Sep)
Khulna,Khulna,8,August,3867.51,279.98,0.072393,2016,647.9,Monsoon (Jun-Sep)
Kishoreganj,Dhaka,8,August,2821.62,1317.63,0.466977,2016,3049.2,Monsoon (Jun-Sep)
Kurigram,Rangpur,8,August,2481.86,483.26,0.194718,2016,1118.4,Monsoon (Jun-Sep)
Kushtia,Khulna,8,August,1830.28,33.15,0.01811,2016,76.7,Monsoon (Jun-Sep)
Lakshmipur,Chittagong,8,August,1573.07,295.59,0.187907,2016,684.0,Monsoon (Jun-Sep)
Lalmonirhat,Rangpur,8,August,1381.75,51.62,0.037358,2016,119.5,Monsoon (Jun-Sep)
Madaripur,Dhaka,8,August,1257.23,60.3,0.047961,2016,139.5,Monsoon (Jun-Sep)
Magura,Khulna,8,August,1143.98,68.99,0.060311,2016,159.7,Monsoon (Jun-Sep)
Manikganj,Dhaka,8,August,1531.92,254.62,0.166213,2016,589.2,Monsoon (Jun-Sep)
Maulvibazar,Sylhet,8,August,2819.05,273.81,0.097129,2016,633.6,Monsoon (Jun-Sep)
Meherpur,Khulna,8,August,732.4,2.48,0.003385,2016,5.7,Monsoon (Jun-Sep)
Munshiganj,Dhaka,8,August,1036.66,85.32,0.082301,2016,197.4,Monsoon (Jun-Sep)
Mymensingh,Dhaka,8,August,4784.19,66.2,0.013838,2016,153.2,Monsoon (Jun-Sep)
Naogaon,Rajshahi,8,August,3824.58,140.78,0.036809,2016,325.8,Monsoon (Jun-Sep)
Narail,Khulna,8,August,1072.86,43.47,0.04052,2016,100.6,Monsoon (Jun-Sep)
Narayanganj,Dhaka,8,August,832.16,72.47,0.087087,2016,167.7,Monsoon (Jun-Sep)
Narsingdi,Dhaka,8,August,1281.34,153.03,0.119433,2016,354.1,Monsoon (Jun-Sep)
Natore,Rajshahi,8,August,2101.7,86.95,0.041371,2016,201.2,Monsoon (Jun-Sep)
Nawabganj,Rajshahi,8,August,1804.38,102.67,0.0569,2016,237.6,Monsoon (Jun-Sep)
Netrakona,Dhaka,8,August,3089.39,619.53,0.200534,2016,1433.7,Monsoon (Jun-Sep)
Nilphamari,Rangpur,8,August,1836.84,28.2,0.015354,2016,65.3,Monsoon (Jun-Sep)
Noakhali,Chittagong,8,August,2642.03,132.78,0.050256,2016,307.3,Monsoon (Jun-Sep)
Pabna,Rajshahi,8,August,2634.14,286.13,0.108624,2016,662.2,Monsoon (Jun-Sep)
Panchagarh,Rangpur,8,August,1548.93,9.35,0.006035,2016,21.6,Monsoon (Jun-Sep)
Patuakhali,Barisal,8,August,2730.09,300.54,0.110083,2016,695.5,Monsoon (Jun-Sep)
Pirojpur,Barisal,8,August,1365.69,139.96,0.102482,2016,323.9,Monsoon (Jun-Sep)
Rajbari,Dhaka,8,August,1249.73,114.75,0.091822,2016,265.6,Monsoon (Jun-Sep)
Rajshahi,Rajshahi,8,August,2664.72,63.97,0.024006,2016,148.0,Monsoon (Jun-Sep)
Rangamati,Chittagong,8,August,6226.79,314.68,0.050537,2016,728.2,Monsoon (Jun-Sep)
Rangpur,Rangpur,8,August,2572.65,29.86,0.011608,2016,69.1,Monsoon (Jun-Sep)
Satkhira,Khulna,8,August,3543.07,578.12,0.16317,2016,1337.9,Monsoon (Jun-Sep)
Shariatpur,Dhaka,8,August,1362.06,172.86,0.126908,2016,400.0,Monsoon (Jun-Sep)
Sherpur,Dhaka,8,August,1455.19,16.03,0.011018,2016,37.1,Monsoon (Jun-Sep)
Sirajganj,Rajshahi,8,August,2755.65,610.59,0.221578,2016,1413.0,Monsoon (Jun-Sep)
Sunamganj,Sylhet,8,August,4043.04,1851.88,0.458042,2016,4285.6,Monsoon (Jun-Sep)
Sylhet,Sylhet,8,August,3847.75,312.85,0.081306,2016,724.0,Monsoon (Jun-Sep)
Tangail,Dhaka,8,August,3707.07,289.7,0.078147,2016,670.4,Monsoon (Jun-Sep)
Thakurgaon,Rangpur,8,August,2008.93,4.06,0.00202,2016,9.4,Monsoon (Jun-Sep)
Bagerhat,Khulna,9,September,3965.62,345.71,0.087177,2016,800.0,Monsoon (Jun-Sep)
Bandarban,Chittagong,9,September,5000.66,1.59,0.000318,2016,3.7,Monsoon (Jun-Sep)
Barguna,Barisal,9,September,1547.28,194.29,0.125567,2016,449.6,Monsoon (Jun-Sep)
Barisal,Barisal,9,September,2767.25,449.69,0.162503,2016,1040.7,Monsoon (Jun-Sep)
Bhola,Barisal,9,September,2471.69,760.73,0.307776,2016,1760.5,Monsoon (Jun-Sep)
Bogra,Rajshahi,9,September,3233.63,219.72,0.067949,2016,508.5,Monsoon (Jun-Sep)
Brahamanbaria,Chittagong,9,September,2104.07,492.02,0.23384,2016,1138.6,Monsoon (Jun-Sep)
Chandpur,Chittagong,9,September,1864.17,272.55,0.146207,2016,630.7,Monsoon (Jun-Sep)
Chittagong,Chittagong,9,September,4736.75,90.54,0.019113,2016,209.5,Monsoon (Jun-Sep)
Chuadanga,Khulna,9,September,1233.0,9.19,0.007456,2016,21.3,Monsoon (Jun-Sep)
Comilla,Chittagong,9,September,3351.85,69.24,0.020658,2016,160.2,Monsoon (Jun-Sep)
Cox's Bazar,Chittagong,9,September,2206.6,118.29,0.053606,2016,273.7,Monsoon (Jun-Sep)
Dhaka,Dhaka,9,September,1611.18,113.09,0.070193,2016,261.7,Monsoon (Jun-Sep)
Dinajpur,Rangpur,9,September,3829.09,17.76,0.004639,2016,41.1,Monsoon (Jun-Sep)
Faridpur,Dhaka,9,September,2227.54,219.22,0.098414,2016,507.3,Monsoon (Jun-Sep)
Feni,Chittagong,9,September,960.78,5.59,0.005816,2016,12.9,Monsoon (Jun-Sep)
Gaibandha,Rangpur,9,September,2410.25,303.28,0.125828,2016,701.8,Monsoon (Jun-Sep)
Gazipur,Dhaka,9,September,1940.74,69.03,0.03557,2016,159.7,Monsoon (Jun-Sep)
Gopalganj,Dhaka,9,September,1602.77,35.87,0.022381,2016,83.0,Monsoon (Jun-Sep)
Habiganj,Sylhet,9,September,2857.81,308.82,0.108061,2016,714.7,Monsoon (Jun-Sep)
Jamalpur,Dhaka,9,September,2272.36,168.07,0.073961,2016,388.9,Monsoon (Jun-Sep)
Jessore,Khulna,9,September,2784.67,203.19,0.072966,2016,470.2,Monsoon (Jun-Sep)
Jhalokati,Barisal,9,September,807.93,42.81,0.052993,2016,99.1,Monsoon (Jun-Sep)
Jhenaidah,Khulna,9,September,2143.49,30.52,0.014239,2016,70.6,Monsoon (Jun-Sep)
Joypurhat,Rajshahi,9,September,1081.54,0.59,0.000549,2016,1.4,Monsoon (Jun-Sep)
Khagrachhari,Chittagong,9,September,3108.48,6.71,0.002158,2016,15.5,Monsoon (Jun-Sep)
Khulna,Khulna,9,September,3867.47,356.36,0.092142,2016,824.7,Monsoon (Jun-Sep)
Kishoreganj,Dhaka,9,September,2821.62,1279.6,0.4535,2016,2961.2,Monsoon (Jun-Sep)
Kurigram,Rangpur,9,September,2481.86,493.5,0.198844,2016,1142.0,Monsoon (Jun-Sep)
Kushtia,Khulna,9,September,1830.28,116.56,0.063684,2016,269.7,Monsoon (Jun-Sep)
Lakshmipur,Chittagong,9,September,1573.07,320.22,0.203562,2016,741.0,Monsoon (Jun-Sep)
Lalmonirhat,Rangpur,9,September,1381.75,77.27,0.05592,2016,178.8,Monsoon (Jun-Sep)
Madaripur,Dhaka,9,September,1257.23,62.62,0.049806,2016,144.9,Monsoon (Jun-Sep)
Magura,Khulna,9,September,1143.98,42.97,0.037565,2016,99.4,Monsoon (Jun-Sep)
Manikganj,Dhaka,9,September,1531.92,249.86,0.1631,2016,578.2,Monsoon (Jun-Sep)
Maulvibazar,Sylhet,9,September,2819.05,300.0,0.10642,2016,694.3,Monsoon (Jun-Sep)
Meherpur,Khulna,9,September,732.79,2.34,0.003187,2016,5.4,Monsoon (Jun-Sep)
Munshiganj,Dhaka,9,September,1036.66,100.33,0.096785,2016,232.2,Monsoon (Jun-Sep)
Mymensingh,Dhaka,9,September,4784.19,55.21,0.01154,2016,127.8,Monsoon (Jun-Sep)
Naogaon,Rajshahi,9,September,3824.58,202.51,0.052949,2016,468.6,Monsoon (Jun-Sep)
Narail,Khulna,9,September,1072.86,36.84,0.034336,2016,85.3,Monsoon (Jun-Sep)
Narayanganj,Dhaka,9,September,832.16,66.25,0.079612,2016,153.3,Monsoon (Jun-Sep)
Narsingdi,Dhaka,9,September,1281.34,135.4,0.105667,2016,313.3,Monsoon (Jun-Sep)
Natore,Rajshahi,9,September,2101.7,144.32,0.06867,2016,334.0,Monsoon (Jun-Sep)
Nawabganj,Rajshahi,9,September,1804.38,200.44,0.111087,2016,463.9,Monsoon (Jun-Sep)
Netrakona,Dhaka,9,September,3089.39,612.0,0.198099,2016,1416.3,Monsoon (Jun-Sep)
Nilphamari,Rangpur,9,September,1836.84,38.95,0.021204,2016,90.1,Monsoon (Jun-Sep)
Noakhali,Chittagong,9,September,2642.03,131.62,0.049818,2016,304.6,Monsoon (Jun-Sep)
Pabna,Rajshahi,9,September,2634.14,374.82,0.142292,2016,867.4,Monsoon (Jun-Sep)
Panchagarh,Rangpur,9,September,1548.93,14.35,0.009266,2016,33.2,Monsoon (Jun-Sep)
Patuakhali,Barisal,9,September,2730.09,265.41,0.097216,2016,614.2,Monsoon (Jun-Sep)
Pirojpur,Barisal,9,September,1365.69,123.45,0.090395,2016,285.7,Monsoon (Jun-Sep)
Rajbari,Dhaka,9,September,1249.73,162.39,0.129942,2016,375.8,Monsoon (Jun-Sep)
Rajshahi,Rajshahi,9,September,2664.72,198.32,0.074424,2016,458.9,Monsoon (Jun-Sep)
Rangamati,Chittagong,9,September,6226.79,357.63,0.057434,2016,827.6,Monsoon (Jun-Sep)
Rangpur,Rangpur,9,September,2572.65,41.55,0.01615,2016,96.2,Monsoon (Jun-Sep)
Satkhira,Khulna,9,September,3543.02,601.47,0.169762,2016,1391.9,Monsoon (Jun-Sep)
Shariatpur,Dhaka,9,September,1362.06,181.13,0.132984,2016,419.2,Monsoon (Jun-Sep)
Sherpur,Dhaka,9,September,1455.19,11.04,0.007586,2016,25.5,Monsoon (Jun-Sep)
Sirajganj,Rajshahi,9,September,2755.65,639.91,0.232217,2016,1480.9,Monsoon (Jun-Sep)
Sunamganj,Sylhet,9,September,4043.04,1867.45,0.461891,2016,4321.6,Monsoon (Jun-Sep)
Sylhet,Sylhet,9,September,3847.75,399.03,0.103705,2016,923.4,Monsoon (Jun-Sep)
Tangail,Dhaka,9,September,3707.07,221.25,0.059684,2016,512.0,Monsoon (Jun-Sep)
Thakurgaon,Rangpur,9,September,2008.93,3.83,0.001907,2016,8.9,Monsoon (Jun-Sep)
Bagerhat,Khulna,10,October,3965.62,315.12,0.079464,2016,729.2,Post-Monsoon (Oct-Nov)
Bandarban,Chittagong,10,October,5000.66,1.7,0.00034,2016,3.9,Post-Monsoon (Oct-Nov)
Barguna,Barisal,10,October,1547.28,154.35,0.099758,2016,357.2,Post-Monsoon (Oct-Nov)
Barisal,Barisal,10,October,2767.25,452.08,0.163369,2016,1046.2,Post-Monsoon (Oct-Nov)
Bhola,Barisal,10,October,2471.69,677.45,0.274083,2016,1567.7,Post-Monsoon (Oct-Nov)
Bogra,Rajshahi,10,October,3233.63,212.71,0.06578,2016,492.2,Post-Monsoon (Oct-Nov)
Brahamanbaria,Chittagong,10,October,2104.07,351.85,0.167222,2016,814.2,Post-Monsoon (Oct-Nov)
Chandpur,Chittagong,10,October,1864.17,262.26,0.140684,2016,606.9,Post-Monsoon (Oct-Nov)
Chittagong,Chittagong,10,October,4736.75,92.76,0.019582,2016,214.7,Post-Monsoon (Oct-Nov)
Chuadanga,Khulna,10,October,1233.0,8.6,0.006975,2016,19.9,Post-Monsoon (Oct-Nov)
Comilla,Chittagong,10,October,3351.85,57.04,0.017016,2016,132.0,Post-Monsoon (Oct-Nov)
Cox's Bazar,Chittagong,10,October,2206.6,145.82,0.066084,2016,337.5,Post-Monsoon (Oct-Nov)
Dhaka,Dhaka,10,October,1611.18,111.36,0.06912,2016,257.7,Post-Monsoon (Oct-Nov)
