district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Sirajganj,Rajshahi,1,January,2755.65,229.82,0.0834,2015,531.8,Dry Winter (Dec-Feb)
Sunamganj,Sylhet,1,January,4043.04,263.58,0.065193,2015,610.0,Dry Winter (Dec-Feb)
Sylhet,Sylhet,1,January,3847.75,66.89,0.017385,2015,154.8,Dry Winter (Dec-Feb)
Tangail,Dhaka,1,January,3707.07,82.18,0.022168,2015,190.2,Dry Winter (Dec-Feb)
Thakurgaon,Rangpur,1,January,2008.93,1.62,0.000808,2015,3.7,Dry Winter (Dec-Feb)
Bagerhat,Khulna,2,February,3965.62,164.75,0.041543,2015,381.3,Dry Winter (Dec-Feb)
Bandarban,Chittagong,2,February,4999.8,9.63,0.001926,2015,22.3,Dry Winter (Dec-Feb)
Barguna,Barisal,2,February,1547.28,155.24,0.100333,2015,359.3,Dry Winter (Dec-Feb)
Barisal,Barisal,2,February,2767.25,367.96,0.13297,2015,851.5,Dry Winter (Dec-Feb)
Bhola,Barisal,2,February,2471.69,604.09,0.244405,2015,1398.0,Dry Winter (Dec-Feb)
Bogra,Rajshahi,2,February,3233.63,121.92,0.037705,2015,282.1,Dry Winter (Dec-Feb)
Brahamanbaria,Chittagong,2,February,2104.07,55.06,0.026166,2015,127.4,Dry Winter (Dec-Feb)
Chandpur,Chittagong,2,February,1864.17,229.2,0.122952,2015,530.4,Dry Winter (Dec-Feb)
Chittagong,Chittagong,2,February,4736.75,90.95,0.019201,2015,210.5,Dry Winter (Dec-Feb)
Chuadanga,Khulna,2,February,1233.0,4.5,0.003646,2015,10.4,Dry Winter (Dec-Feb)
Comilla,Chittagong,2,February,3351.85,20.64,0.006157,2015,47.8,Dry Winter (Dec-Feb)
Cox's Bazar,Chittagong,2,February,2206.3,37.69,0.017084,2015,87.2,Dry Winter (Dec-Feb)
Dhaka,Dhaka,2,February,1611.18,56.11,0.034828,2015,129.8,Dry Winter (Dec-Feb)
Dinajpur,Rangpur,2,February,3829.09,13.57,0.003544,2015,31.4,Dry Winter (Dec-Feb)
Faridpur,Dhaka,2,February,2227.54,94.98,0.042638,2015,219.8,Dry Winter (Dec-Feb)
Feni,Chittagong,2,February,960.76,6.05,0.006298,2015,14.0,Dry Winter (Dec-Feb)
Gaibandha,Rangpur,2,February,2410.25,151.91,0.063028,2015,351.5,Dry Winter (Dec-Feb)
Gazipur,Dhaka,2,February,1940.02,13.44,0.006926,2015,31.1,Dry Winter (Dec-Feb)
Gopalganj,Dhaka,2,February,1602.77,9.94,0.006199,2015,23.0,Dry Winter (Dec-Feb)
Habiganj,Sylhet,2,February,2857.16,12.43,0.00435,2015,28.8,Dry Winter (Dec-Feb)
Jamalpur,Dhaka,2,February,2272.36,76.55,0.033687,2015,177.2,Dry Winter (Dec-Feb)
Jessore,Khulna,2,February,2784.67,30.25,0.010863,2015,70.0,Dry Winter (Dec-Feb)
Jhalokati,Barisal,2,February,807.93,29.88,0.036984,2015,69.1,Dry Winter (Dec-Feb)
Jhenaidah,Khulna,2,February,2015.52,11.59,0.00575,2015,26.8,Dry Winter (Dec-Feb)
Joypurhat,Rajshahi,2,February,1081.54,2.61,0.002411,2015,6.0,Dry Winter (Dec-Feb)
Khagrachhari,Chittagong,2,February,3107.25,1.11,0.000357,2015,2.6,Dry Winter (Dec-Feb)
Khulna,Khulna,2,February,3868.06,205.15,0.053038,2015,474.8,Dry Winter (Dec-Feb)
Kishoreganj,Dhaka,2,February,2820.2,77.54,0.027496,2015,179.4,Dry Winter (Dec-Feb)
Kurigram,Rangpur,2,February,2481.86,313.69,0.126393,2015,725.9,Dry Winter (Dec-Feb)
Kushtia,Khulna,2,February,1830.28,62.27,0.03402,2015,144.1,Dry Winter (Dec-Feb)
Lakshmipur,Chittagong,2,February,1573.07,262.35,0.166777,2015,607.1,Dry Winter (Dec-Feb)
Lalmonirhat,Rangpur,2,February,1381.75,3.8,0.002749,2015,8.8,Dry Winter (Dec-Feb)
Madaripur,Dhaka,2,February,1257.23,41.5,0.033011,2015,96.0,Dry Winter (Dec-Feb)
Magura,Khulna,2,February,1143.98,8.98,0.007853,2015,20.8,Dry Winter (Dec-Feb)
Manikganj,Dhaka,2,February,1531.92,136.95,0.089398,2015,316.9,Dry Winter (Dec-Feb)
Maulvibazar,Sylhet,2,February,2818.38,31.69,0.011245,2015,73.3,Dry Winter (Dec-Feb)
Meherpur,Khulna,2,February,732.79,1.68,0.002293,2015,3.9,Dry Winter (Dec-Feb)
Munshiganj,Dhaka,2,February,1036.66,73.79,0.071178,2015,170.8,Dry Winter (Dec-Feb)
Mymensingh,Dhaka,2,February,4783.69,22.31,0.004664,2015,51.6,Dry Winter (Dec-Feb)
Naogaon,Rajshahi,2,February,3823.93,32.76,0.008566,2015,75.8,Dry Winter (Dec-Feb)
Narail,Khulna,2,February,1072.86,20.54,0.019149,2015,47.5,Dry Winter (Dec-Feb)
Narayanganj,Dhaka,2,February,832.16,41.02,0.049298,2015,94.9,Dry Winter (Dec-Feb)
Narsingdi,Dhaka,2,February,1281.34,52.24,0.040772,2015,120.9,Dry Winter (Dec-Feb)
Natore,Rajshahi,2,February,2101.7,19.14,0.009106,2015,44.3,Dry Winter (Dec-Feb)
Nawabganj,Rajshahi,2,February,1804.38,78.25,0.043369,2015,181.1,Dry Winter (Dec-Feb)
Netrakona,Dhaka,2,February,3089.39,15.18,0.004913,2015,35.1,Dry Winter (Dec-Feb)
Nilphamari,Rangpur,2,February,1836.84,2.38,0.001296,2015,5.5,Dry Winter (Dec-Feb)
Noakhali,Chittagong,2,February,2640.89,104.52,0.039579,2015,241.9,Dry Winter (Dec-Feb)
Pabna,Rajshahi,2,February,2633.01,72.5,0.027536,2015,167.8,Dry Winter (Dec-Feb)
Panchagarh,Rangpur,2,February,1548.93,2.46,0.001591,2015,5.7,Dry Winter (Dec-Feb)
Patuakhali,Barisal,2,February,2730.09,202.12,0.074033,2015,467.7,Dry Winter (Dec-Feb)
Pirojpur,Barisal,2,February,1365.69,80.2,0.058723,2015,185.6,Dry Winter (Dec-Feb)
