Year,Month,Class,Threshold,Area_km2,Scope
2015,2,Manikganj,-16,132.88953365652952,District
2015,2,Maulvibazar,-16,39.17580849476485,District
2015,2,Meherpur,-16,1.8765404599609368,District
2015,2,Munshiganj,-16,69.67945458861064,District
2015,2,Mymensingh,-16,25.6181171804228,District
2015,2,Naogaon,-16,49.55466687000997,District
2015,2,Narail,-16,19.71932093871783,District
2015,2,Narayanganj,-16,39.37907745262717,District
2015,2,Narsingdi,-16,48.91622388519451,District
2015,2,Natore,-16,19.438763205104937,District
2015,2,Nawabganj,-16,80.18774717637865,District
2015,2,Netrakona,-16,15.680304265973502,District
2015,2,Nilphamari,-16,3.629563267195159,District
2015,2,Noakhali,-16,97.6516284523132,District
2015,2,Pabna,-16,74.22582862321161,District
2015,2,Panchagarh,-16,3.198730019312959,District
2015,2,Patuakhali,-16,189.8457683000153,District
2015,2,Pirojpur,-16,76.34224918601797,District
2015,2,Rajbari,-16,82.65687970454196,District
2015,2,Rajshahi_Division,-16,630.890741579745,Division
2015,2,Rajshahi_District,-16,74.60757518991646,District
2015,2,Rangamati,-16,266.28805086487057,District
2015,2,Rangpur_Division,-16,518.8066418878522,Division
2015,2,Rangpur_District,-16,7.400684474980854,District
2015,2,Satkhira,-16,270.0704718559398,District
2015,2,Shariatpur,-16,139.92674552419584,District
2015,2,Sherpur,-16,2.673406358111213,District
2015,2,Sirajganj,-16,200.8677835224876,District
2015,2,Sunamganj,-16,93.08644288234149,District
2015,2,Sylhet_Division,-16,318.9612903525429,Division
2015,2,Sylhet_District,-16,172.7299676129519,District
2015,2,Tangail,-16,76.25180994756056,District
2015,2,Thakurgaon,-16,3.424662762082567,District
2015,3,Bagerhat,-16,164.48995477845054,District
2015,3,Bandarban,-16,0.5541991757314644,District
2015,3,Bangladesh,-16,5489.695532793738,National
2015,3,Barguna,-16,139.649054891525,District
2015,3,Barisal_Division,-16,1362.9343282903494,Division
2015,3,Barisal_District,-16,357.90850302067986,District
2015,3,Bhola,-16,577.9298277501953,District
2015,3,Bogra,-16,133.63827230522747,District
2015,3,Brahamanbaria,-16,38.892136845852455,District
2015,3,Chandpur,-16,207.96140130596265,District
2015,3,Chittagong_Division,-16,949.2725877213236,Division
2015,3,Chittagong_District,-16,77.04207585250853,District
2015,3,Chuadanga,-16,3.4284283705997245,District
2015,3,Comilla,-16,13.452073098088997,District
2015,3,Cox's Bazar,-16,29.92742937721354,District
2015,3,Dhaka_Division,-16,1002.3120013117226,Division
2015,3,Dhaka_District,-16,49.51743413780639,District
2015,3,Dinajpur,-16,3.442957698502605,District
2015,3,Faridpur,-16,94.32507507671178,District
2015,3,Feni,-16,3.98087878673024,District
2015,3,Gaibandha,-16,155.3820584538181,District
2015,3,Gazipur,-16,10.647884881399357,District
2015,3,Gopalganj,-16,9.1131634422909,District
2015,3,Habiganj,-16,8.845964746361828,District
2015,3,Jamalpur,-16,79.25410554703966,District
2015,3,Jessore,-16,28.703384331774657,District
2015,3,Jhalokati,-16,26.98289338447073,District
2015,3,Jhenaidah,-16,11.553447172016698,District
2015,3,Joypurhat,-16,0.4335057306640625,District
2015,3,Khagrachhari,-16,0.23829091796875,District
2015,3,Khulna_Division,-16,942.6261182502186,Division
2015,3,Khulna_District,-16,271.2828165733073,District
2015,3,Kishoreganj,-16,61.42922968732767,District
2015,3,Kurigram,-16,317.6606111415405,District
2015,3,Kushtia,-16,59.194773967237296,District
2015,3,Lakshmipur,-16,257.2313924503144,District
2015,3,Lalmonirhat,-16,6.1277463851409335,District
2015,3,Madaripur,-16,38.670667685512406,District
2015,3,Magura,-16,8.961268161435353,District
2015,3,Manikganj,-16,145.17292529150578,District
2015,3,Maulvibazar,-16,15.82579442009804,District
2015,3,Meherpur,-16,0.965708359375,District
2015,3,Munshiganj,-16,66.7386212024816,District
2015,3,Mymensingh,-16,17.6370117363894,District
2015,3,Naogaon,-16,8.918831022361367,District
2015,3,Narail,-16,18.96767399969745,District
2015,3,Narayanganj,-16,37.32634690521983,District
2015,3,Narsingdi,-16,46.94466321895681,District
2015,3,Natore,-16,13.882254034999235,District
2015,3,Nawabganj,-16,59.6905961981388,District
2015,3,Netrakona,-16,13.781984947997092,District
2015,3,Nilphamari,-16,2.9613417359872853,District
2015,3,Noakhali,-16,87.05551435285683,District
2015,3,Pabna,-16,85.6565460171799,District
2015,3,Panchagarh,-16,1.4383420032896752,District
2015,3,Patuakhali,-16,183.58707239893155,District
2015,3,Pirojpur,-16,76.8540066004596,District
2015,3,Rajbari,-16,97.3329725455577,District
2015,3,Rajshahi_Division,-16,627.3186972750539,Division
2015,3,Rajshahi_District,-16,64.32065265427003,District
2015,3,Rangamati,-16,232.93453082589613,District
2015,3,Rangpur_Division,-16,491.9647857490461,Division
2015,3,Rangpur_District,-16,3.345121367796416,District
2015,3,Satkhira,-16,375.0672809612362,District
2015,3,Shariatpur,-16,142.06525635899595,District
2015,3,Sherpur,-16,1.4443113240119485,District
2015,3,Sirajganj,-16,260.7727776829696,District
2015,3,Sunamganj,-16,62.57929784589842,District
2015,3,Sylhet_Division,-16,113.19254003755364,Division
2015,3,Sylhet_District,-16,25.93708535283778,District
2015,3,Tangail,-16,90.88668964952136,District
2015,3,Thakurgaon,-16,1.6007605684474568,District
2015,4,Bagerhat,-15,211.4479185259116,District
2015,4,Bandarban,-15,0.8066792998927697,District
2015,4,Bangladesh,-15,5483.606994443104,National
2015,4,Barguna,-15,142.81945500086934,District
2015,4,Barisal_Division,-15,1352.4885058021064,Division
2015,4,Barisal_District,-15,338.0065872162489,District
2015,4,Bhola,-15,576.931990945772,District
2015,4,Bogra,-15,125.63690524532016,District
2015,4,Brahamanbaria,-15,44.23302255862432,District
2015,4,Chandpur,-15,207.6435927985638,District
2015,4,Chittagong_Division,-15,945.8499452907208,Division
2015,4,Chittagong_District,-15,73.09074156866974,District
2015,4,Chuadanga,-15,3.4904641990579046,District
2015,4,Comilla,-15,19.82331166716453,District
2015,4,Cox's Bazar,-15,41.920544141846655,District
2015,4,Dhaka_Division,-15,957.6187125259688,Division
2015,4,Dhaka_District,-15,48.35677885440027,District
2015,4,Dinajpur,-15,4.326403309030332,District
2015,4,Faridpur,-15,90.39549924981232,District
