,[x]
Jan,"10,033.979"
Feb,"15,373.429"
Mar,"15,620.761"
Apr,"16,364.841"
May,"20,372.264"
Jun,"23,781.945"
Jul,"28,612.515"
Aug,"26,079.286"
Sep,"24,031.026"
Oct,"20,960.614"
Nov,"18,100.543"
Dec,"15,334.701"
