,[x]
Jan,"14,836.577"
Feb,"15,473.008"
Mar,"15,555.067"
Apr,"16,319.988"
May,"17,171.131"
Jun,"19,764.09"
Jul,"25,414.065"
Aug,"24,812.479"
Sep,"21,853.491"
Oct,"20,285.451"
Nov,"16,991.896"
Dec,"14,990.964"
