,[x]
Jan,"15,020.881"
Feb,"15,866.408"
Mar,"15,608.784"
Apr,"16,294.054"
May,"18,186.8"
Jun,"23,604.756"
Jul,"24,968.762"
Aug,"25,712.781"
Sep,"22,945.253"
Oct,"19,233.515"
Nov,"16,889.934"
Dec,"15,086.621"
