,[x]
Jan,"13,817.293"
Feb,"15,208.192"
Mar,"15,158.563"
Apr,"14,896.631"
May,"16,493.996"
Jun,"24,228.135"
Jul,"24,016.387"
Aug,"24,639.298"
Sep,"21,676.218"
Oct,"19,203.333"
Nov,"16,511.961"
Dec,"13,352.842"
