,[x]
Jan,"15,102.289"
Feb,"15,464.667"
Mar,"15,625.254"
Apr,"18,871.046"
May,"21,048.046"
Jun,"23,855.742"
Jul,"26,805.884"
Aug,"28,446.397"
Sep,"25,136.141"
Oct,"21,269.566"
Nov,"18,699.936"
Dec,"15,687.453"
