,[x]
Jan,"15,244.409"
Feb,"15,796.194"
Mar,"15,976.852"
Apr,"17,065.508"
May,"17,293.721"
Jun,"21,810.248"
Jul,"25,507.402"
Aug,"26,504.857"
Sep,"23,117.211"
Oct,"20,395.6"
Nov,"17,155.65"
Dec,"15,416.399"
