,[x]
Jan,"14,846.779"
Feb,"15,340.704"
Mar,"15,505.443"
Apr,"16,047.255"
May,"18,044.032"
Jun,"21,371.678"
Jul,"27,994.037"
Aug,"25,415.435"
Sep,"22,388.786"
Oct,"20,459.551"
Nov,"17,746.825"
Dec,"15,166.978"
