,[x]
Jan,"14,771.731"
Feb,"15,352.859"
Mar,"15,301.954"
Apr,"16,347.782"
May,"16,957.499"
Jun,"24,840.592"
Jul,"28,009.873"
Aug,"26,445.943"
Sep,"22,402.102"
Oct,"21,174.055"
Nov,"17,384.512"
Dec,"15,130.57"
