,[x]
Jan,"14,699.496"
Feb,"15,342.215"
Mar,"15,634.633"
Apr,"16,391.166"
May,"17,257.106"
Jun,"23,888.578"
Jul,"29,127.877"
Aug,"27,642.895"
Sep,"24,370.611"
Oct,"21,954.463"
Nov,"18,269.715"
Dec,"15,592.985"
